user,text,time,language,source,retweet_count,reply_count,like_count,quote_count
155659213,"This chapter is over.
The story? Still being written.
Grateful to all. https://t.co/Vuvl5siEB3",2025-05-26 20:34:35+00:00,en,,78763,36190,1261388,14762
155659213,"Living your best life is all about simplicity. Prioritize quality protein, stay active, and ensure you get enough rest.
@Herbalife24 products give me the quality proteins I need to keep it simple and effective. #Ad https://t.co/R5HXBEpegN",2025-05-24 13:00:02+00:00,en,,18860,6970,268009,1053
155659213,One of those nights where the ball just didn’t want to go in… until it did 😅 https://t.co/0jz9EIABvk,2025-05-21 18:46:48+00:00,en,,38747,12911,638130,1884
155659213,"You think you know what age I am?
Think again. Watch the reveal with WHOOP Founder and CEO @willahmed on the @WHOOP Podcast. #Ad https://t.co/mYWfOVUGkD",2025-05-20 16:05:48+00:00,en,,17906,6115,174681,325
155659213,Have you heard the news? @UFLgame got a big update recently! Season 2 is on! Go and play for free! UFL is available on PS5 and Xbox Series X|S. Learn more at https://t.co/4rPvq08trV #Ad https://t.co/tkXRrkUFHS,2025-05-15 10:07:46+00:00,en,,13261,8309,162823,352
155659213,"Parabéns pela estreia por @selecaoportugal, filho. Muito orgulho em ti! https://t.co/BWbKDewDnZ",2025-05-13 13:44:41+00:00,pt,,33434,6389,498111,1095
155659213,Let’s go! 🔥 https://t.co/sJjfti40dj,2025-05-12 17:04:36+00:00,en,,16613,6136,239227,408
155659213,"What I do today can give me more tomorrows. With the all-new @WHOOP, I’m in control—thanks to game-changing features like Healthspan with WHOOP Age. Wake up. Join the ones who already have. #Ad https://t.co/TGEb8lsg48",2025-05-10 13:11:01+00:00,en,,14657,5662,174493,284
